id,Вид образования,Специальность,edu_level,count_appearence,count_chiefed,is_chief,exists_in_education
ОРГ1-00001,Повышение квалификации,Организация подготовки проектной документации,10.0,3,0.0,0,1
ОРГ1-00004,Повышение квалификации,,10.0,6,2.0,1,1
ОРГ1-00005,Повышение квалификации,Безопасность строительства и осуществление строительного контроля,10.0,6,4.0,1,1
ОРГ1-00010,Высшее образование,Экономика и организация машиностроительной промышленности,8.0,1,0.0,0,1
ОРГ1-00013,Высшее образование,Финансы и кредит,8.0,3,0.0,0,1
ОРГ1-00028,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00030,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00044,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,9.0,1,1
ОРГ1-00046,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,2.0,1,1
ОРГ1-00049,Высшее образование,Основные процессы химических производств и химическая кибернетика,8.0,1,0.0,0,1
ОРГ1-00057,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов,10.0,4,10.0,1,1
ОРГ1-00063,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,0.0,0,1
ОРГ1-00065,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,0.0,0,1
ОРГ1-00069,Повышение квалификации,,10.0,2,0.0,0,1
ОРГ1-00074,Высшее образование,Химическая технология и биотехнология,8.0,1,0.0,0,1
ОРГ1-00081,Высшее образование,Автоматизация технологических процессов и производств (в машиностроении),8.0,1,0.0,0,1
ОРГ1-00085,Повышение квалификации,,10.0,4,0.0,0,1
ОРГ1-00090,Повышение квалификации,,10.0,5,0.0,0,1
ОРГ1-00092,Переподготовка,,12.0,3,9.0,1,1
ОРГ1-00100,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов,10.0,2,0.0,0,1
ОРГ1-00101,Повышение квалификации,Проектирование и расчеты на прочность теплообменных аппаратов,10.0,5,1.0,1,1
ОРГ1-00105,Высшее образование,Химическая технология природных энергоносителей и углеродных материалов,8.0,1,0.0,0,1
ОРГ1-00107,Высшее образование,,8.0,1,0.0,0,1
