id,date_connected_count_total,date_connected_work_period_by_connection_total,date_connected_days_since_last_connection_total,time_connected_deviation_sum_total,time_connected_deviation_mean_total,time_connected_deviation_median_total,time_connected_deviation_std_total,time_connected_deviation_min_total,time_connected_deviation_max_total,total_time_connected_sum_total,total_time_connected_mean_total,total_time_connected_median_total,total_time_connected_std_total,total_time_connected_min_total,total_time_connected_max_total,is_late_connected_sum_total,is_late_connected_mean_total,early_more_than_hour_sum_total,early_more_than_hour_mean_total,late_more_than_hour_sum_total,late_more_than_hour_mean_total,is_workday_connected_sum_total,is_workday_connected_mean_total,is_weekend_connected_sum_total,is_weekend_connected_mean_total,mean_time_due_employed_total,date_connected_count_last_150,date_connected_work_period_by_connection_last_150,date_connected_days_since_last_connection_last_150,time_connected_deviation_sum_last_150,time_connected_deviation_mean_last_150,time_connected_deviation_median_last_150,time_connected_deviation_std_last_150,time_connected_deviation_min_last_150,time_connected_deviation_max_last_150,total_time_connected_sum_last_150,total_time_connected_mean_last_150,total_time_connected_median_last_150,total_time_connected_std_last_150,total_time_connected_min_last_150,total_time_connected_max_last_150,is_late_connected_sum_last_150,is_late_connected_mean_last_150,early_more_than_hour_sum_last_150,early_more_than_hour_mean_last_150,late_more_than_hour_sum_last_150,late_more_than_hour_mean_last_150,is_workday_connected_sum_last_150,is_workday_connected_mean_last_150,is_weekend_connected_sum_last_150,is_weekend_connected_mean_last_150,date_connected_count_last_100,date_connected_work_period_by_connection_last_100,date_connected_days_since_last_connection_last_100,time_connected_deviation_sum_last_100,time_connected_deviation_mean_last_100,time_connected_deviation_median_last_100,time_connected_deviation_std_last_100,time_connected_deviation_min_last_100,time_connected_deviation_max_last_100,total_time_connected_sum_last_100,total_time_connected_mean_last_100,total_time_connected_median_last_100,total_time_connected_std_last_100,total_time_connected_min_last_100,total_time_connected_max_last_100,is_late_connected_sum_last_100,is_late_connected_mean_last_100,early_more_than_hour_sum_last_100,early_more_than_hour_mean_last_100,late_more_than_hour_sum_last_100,late_more_than_hour_mean_last_100,is_workday_connected_sum_last_100,is_workday_connected_mean_last_100,is_weekend_connected_sum_last_100,is_weekend_connected_mean_last_100,date_connected_count_last_50,date_connected_work_period_by_connection_last_50,date_connected_days_since_last_connection_last_50,time_connected_deviation_sum_last_50,time_connected_deviation_mean_last_50,time_connected_deviation_median_last_50,time_connected_deviation_std_last_50,time_connected_deviation_min_last_50,time_connected_deviation_max_last_50,total_time_connected_sum_last_50,total_time_connected_mean_last_50,total_time_connected_median_last_50,total_time_connected_std_last_50,total_time_connected_min_last_50,total_time_connected_max_last_50,is_late_connected_sum_last_50,is_late_connected_mean_last_50,early_more_than_hour_sum_last_50,early_more_than_hour_mean_last_50,late_more_than_hour_sum_last_50,late_more_than_hour_mean_last_50,is_workday_connected_sum_last_50,is_workday_connected_mean_last_50,is_weekend_connected_sum_last_50,is_weekend_connected_mean_last_50,exists_in_connection
ОРГ1-00004,167,193,0,213.46027777777778,1.278205256154358,0.21972222222222224,3.8216078187128666,-8.499444444444444,14.534166666666666,1606.691111111111,9.62090485695276,9.679444444444444,4.308012105586281,0.08333333333333333,24.045555555555556,94,0.562874251497006,121,0.7245508982035929,46,0.2754491017964072,135,0.8083832335329342,32,0.19161676646706588,8.32482440990213,125.0,149.0,0.0,132.83944444444444,1.0627155555555554,0.18638888888888888,3.4694607342954615,-8.497777777777777,14.534166666666666,1220.1519444444443,9.761215555555555,9.522222222222222,4.281452725837138,0.08333333333333333,24.045555555555556,66.0,0.528,99.0,0.792,26.0,0.208,104.0,0.832,21.0,0.168,89.0,99.0,0.0,114.44972222222222,1.2859519350811486,0.21972222222222224,4.043115569087008,-8.497777777777777,14.534166666666666,872.2177777777778,9.80019975031211,9.688888888888888,4.88728815980179,0.08333333333333333,24.045555555555556,50.0,0.5617977528089888,69.0,0.7752808988764045,20.0,0.2247191011235955,68.0,0.7640449438202247,21.0,0.23595505617977527,45.0,49.0,0.0,42.45638888888889,0.9434753086419753,0.34805555555555556,3.594796581672192,-8.37138888888889,13.74388888888889,427.1897222222222,9.493104938271605,9.769722222222223,4.816685047997475,0.08361111111111111,23.779166666666665,27.0,0.6,36.0,0.8,9.0,0.2,35.0,0.7777777777777778,10.0,0.2222222222222222,1
ОРГ1-00028,131,192,1,-20.179166666666664,-0.1540394402035623,-0.2941666666666667,1.0977577494688546,-1.1344444444444444,8.623611111111112,1198.6141666666667,9.149726463104326,9.600277777777778,1.971398274072268,0.08333333333333333,14.278888888888888,7,0.05343511450381679,125,0.9541984732824428,6,0.04580152671755725,130,0.9923664122137404,1,0.007633587786259542,6.242782118055556,105.0,148.0,1.0,-25.895555555555553,-0.2466243386243386,-0.2836111111111111,0.9308364807340617,-1.1344444444444444,8.623611111111112,995.8452777777778,9.484240740740741,9.561111111111112,0.9444220273441462,2.585277777777778,14.278888888888888,2.0,0.01904761904761905,103.0,0.9809523809523809,2.0,0.01904761904761905,104.0,0.9904761904761905,1.0,0.009523809523809525,69.0,98.0,1.0,-8.753055555555555,-0.1268558776167472,-0.2427777777777778,1.1051975246009482,-1.0847222222222221,8.623611111111112,652.9355555555555,9.462834138486311,9.523055555555555,1.090650634154604,2.585277777777778,14.278888888888888,2.0,0.028985507246376812,67.0,0.9710144927536232,2.0,0.028985507246376812,68.0,0.9855072463768116,1.0,0.014492753623188406,36.0,48.0,1.0,1.485833333333334,0.04127314814814817,-0.2411111111111111,1.503624330074525,-0.445,8.623611111111112,335.805,9.327916666666667,9.606111111111112,1.2310247618491328,2.585277777777778,10.026388888888889,2.0,0.05555555555555555,34.0,0.9444444444444444,2.0,0.05555555555555555,35.0,0.9722222222222222,1.0,0.027777777777777776,1
ОРГ1-00030,127,192,1,22.20777777777778,0.17486439195100612,-0.08027777777777778,2.4463652616020575,-8.475,14.605277777777777,1156.4166666666667,9.105643044619423,9.2675,2.9528003568990737,0.08333333333333333,22.125833333333333,9,0.07086614173228346,120,0.9448818897637795,7,0.05511811023622047,124,0.9763779527559056,3,0.023622047244094488,6.023003472222222,100.0,148.0,1.0,-0.3055555555555541,-0.003055555555555541,-0.08763888888888889,1.8284316585782017,-8.427777777777777,13.72888888888889,915.8005555555555,9.158005555555555,9.205555555555556,2.537735561932782,0.08333333333333333,15.364722222222222,5.0,0.05,97.0,0.97,3.0,0.03,97.0,0.97,3.0,0.03,69.0,97.0,1.0,8.17388888888889,0.1184621578099839,-0.09694444444444444,1.8815634255900657,-4.140833333333333,13.72888888888889,644.9222222222222,9.34669887278583,9.18388888888889,2.3486311979213492,0.08333333333333333,15.364722222222222,3.0,0.043478260869565216,67.0,0.9710144927536232,2.0,0.028985507246376812,67.0,0.9710144927536232,2.0,0.028985507246376812,36.0,48.0,1.0,-8.398055555555555,-0.2332793209876543,-0.10236111111111111,0.7107419795266037,-4.140833333333333,0.4077777777777778,339.44083333333333,9.428912037037037,9.183055555555555,1.8240215460401972,1.2519444444444445,13.773333333333333,1.0,0.027777777777777776,36.0,1.0,0.0,0.0,35.0,0.9722222222222222,1.0,0.027777777777777776,1
ОРГ1-00044,158,192,1,46.02472222222222,0.2912957102672293,-0.39694444444444443,2.020960701830182,-8.399444444444445,11.650555555555556,1524.9463888888888,9.651559423347397,9.774861111111111,3.354329959763911,0.08333333333333333,19.949166666666667,33,0.2088607594936709,131,0.8291139240506329,27,0.17088607594936708,135,0.8544303797468354,23,0.14556962025316456,7.942429108796296,123.0,148.0,1.0,32.628055555555555,0.2652687443541102,-0.4063888888888889,1.9339069457582372,-8.399444444444445,9.496666666666666,1198.3341666666668,9.742554200542006,9.773055555555555,3.4005094293720615,0.08333333333333333,19.949166666666667,26.0,0.21138211382113822,101.0,0.8211382113821138,22.0,0.17886178861788618,104.0,0.8455284552845529,19.0,0.15447154471544716,86.0,98.0,1.0,18.08888888888889,0.2103359173126615,-0.40194444444444444,1.956292496187515,-8.399444444444445,9.496666666666666,863.8438888888888,10.04469638242894,10.294166666666666,3.7063736558152427,0.08333333333333333,19.949166666666667,18.0,0.20930232558139536,70.0,0.813953488372093,16.0,0.18604651162790697,68.0,0.7906976744186046,18.0,0.20930232558139536,47.0,48.0,1.0,2.218333333333333,0.04719858156028368,-0.41194444444444445,1.8731687495303102,-8.399444444444445,4.553055555555556,519.8275,11.060159574468084,10.935,3.3791118660534774,0.4175,19.949166666666667,11.0,0.23404255319148937,37.0,0.7872340425531915,10.0,0.2127659574468085,35.0,0.7446808510638298,12.0,0.2553191489361702,1
ОРГ1-00046,174,193,1,243.61527777777778,1.400087803320562,0.16541666666666666,4.501846523907644,-8.981944444444444,14.299444444444445,1394.9997222222223,8.017239782886335,8.768888888888888,4.971598255193912,0.08333333333333333,23.8625,84,0.4827586206896552,119,0.6839080459770115,55,0.3160919540229885,122,0.7011494252873564,52,0.2988505747126437,7.227977835348302,143.0,148.0,1.0,100.1825,0.7005769230769231,0.09027777777777778,3.270219317464981,-8.965555555555556,10.991111111111111,1178.2747222222222,8.239683372183372,8.938055555555556,4.527205755916161,0.08333333333333333,23.8625,62.0,0.43356643356643354,107.0,0.7482517482517482,36.0,0.2517482517482518,104.0,0.7272727272727273,39.0,0.2727272727272727,97.0,98.0,1.0,117.97888888888889,1.2162772050400916,0.06833333333333333,2.6355678974016636,-0.8141666666666667,10.991111111111111,738.8825,7.617345360824743,8.680833333333334,3.569111947460794,0.08333333333333333,13.652222222222223,42.0,0.4329896907216495,71.0,0.7319587628865979,26.0,0.26804123711340205,68.0,0.7010309278350515,29.0,0.29896907216494845,48.0,48.0,1.0,62.986666666666665,1.3122222222222222,-0.10333333333333333,3.0521031855751457,-0.7683333333333333,10.991111111111111,386.9558333333333,8.061579861111111,9.310277777777777,3.531430540436301,0.08333333333333333,13.652222222222223,17.0,0.3541666666666667,36.0,0.75,12.0,0.25,35.0,0.7291666666666666,13.0,0.2708333333333333,1
ОРГ1-00049,119,192,1,-2.4463888888888903,-0.020557889822595717,-0.16666666666666666,0.7028022264267073,-0.3827777777777778,4.765833333333333,1072.3380555555555,9.011244164332398,9.197222222222223,1.55368825779412,0.08333333333333333,11.295833333333333,7,0.058823529411764705,113,0.9495798319327731,6,0.05042016806722689,115,0.9663865546218487,4,0.03361344537815126,5.585094039351851,88.0,148.0,1.0,2.2130555555555547,0.025148358585858576,-0.14125,0.7675514449016223,-0.3827777777777778,4.765833333333333,783.8058333333333,8.90688446969697,9.186805555555555,1.7325398489413015,0.08333333333333333,11.295833333333333,6.0,0.06818181818181818,83.0,0.9431818181818182,5.0,0.056818181818181816,84.0,0.9545454545454546,4.0,0.045454545454545456,60.0,98.0,1.0,3.4641666666666664,0.057736111111111106,-0.12402777777777779,0.6757195985741085,-0.26916666666666667,3.4366666666666665,531.1802777777777,8.853004629629629,9.184166666666666,1.7037001657542106,2.1708333333333334,11.295833333333333,5.0,0.08333333333333333,56.0,0.9333333333333333,4.0,0.06666666666666667,56.0,0.9333333333333333,4.0,0.06666666666666667,38.0,48.0,1.0,4.503888888888889,0.11852339181286549,-0.1086111111111111,0.7953281800736615,-0.17805555555555555,3.4366666666666665,341.17805555555555,8.978369883040935,9.176944444444445,1.1790611760222012,2.1708333333333334,10.106666666666667,3.0,0.07894736842105263,35.0,0.9210526315789473,3.0,0.07894736842105263,35.0,0.9210526315789473,3.0,0.07894736842105263,1
ОРГ1-00057,120,192,1,-1.7644444444444443,-0.014703703703703701,-0.07777777777777778,0.49510181011856697,-0.2980555555555556,4.445277777777778,1070.8211111111111,8.923509259259259,9.100277777777778,0.9731836782125117,0.08333333333333333,10.0225,3,0.025,118,0.9833333333333333,2,0.016666666666666666,119,0.9916666666666667,1,0.008333333333333333,5.577193287037037,88.0,148.0,1.0,-3.375,-0.03835227272727273,-0.07777777777777778,0.3173640284538133,-0.2980555555555556,2.766388888888889,792.7541666666666,9.008570075757575,9.099444444444444,0.4004425046777605,6.098055555555556,10.0225,2.0,0.022727272727272728,87.0,0.9886363636363636,1.0,0.011363636363636364,88.0,1.0,0.0,0.0,57.0,98.0,1.0,-0.8438888888888888,-0.014805068226120856,-0.06444444444444444,0.38602114746759214,-0.2980555555555556,2.766388888888889,512.9297222222223,8.998767056530216,9.098611111111111,0.4716919262683258,6.098055555555556,10.0225,2.0,0.03508771929824561,56.0,0.9824561403508771,1.0,0.017543859649122806,57.0,1.0,0.0,0.0,27.0,48.0,1.0,-1.6680555555555556,-0.0617798353909465,-0.08138888888888889,0.11201468229961692,-0.2980555555555556,0.17777777777777778,241.71944444444443,8.952572016460906,9.018055555555556,0.21160604085832202,8.353055555555555,9.270555555555555,1.0,0.037037037037037035,27.0,1.0,0.0,0.0,27.0,1.0,0.0,0.0,1
ОРГ1-00063,124,192,1,63.24333333333333,0.5100268817204301,0.12125,1.342279736818719,-0.27944444444444444,9.758055555555556,1084.703888888889,8.74761200716846,9.104722222222222,2.593080113437609,0.08333333333333333,14.194444444444445,49,0.3951612903225806,108,0.8709677419354839,16,0.12903225806451613,121,0.9758064516129032,3,0.024193548387096774,5.649499421296297,98.0,141.0,1.0,27.260555555555555,0.2781689342403628,0.1123611111111111,0.673804190909576,-0.27944444444444444,3.8555555555555556,906.3841666666667,9.248818027210884,9.186666666666667,1.9023231287297995,0.4652777777777778,14.194444444444445,34.0,0.3469387755102041,91.0,0.9285714285714286,7.0,0.07142857142857142,97.0,0.9897959183673469,1.0,0.01020408163265306,68.0,98.0,1.0,13.847777777777777,0.20364379084967318,0.1123611111111111,0.5373731472762733,-0.27944444444444444,3.3577777777777778,623.7588888888889,9.172924836601307,9.187361111111112,1.4900940948583303,0.4652777777777778,11.189166666666667,22.0,0.3235294117647059,66.0,0.9705882352941176,2.0,0.029411764705882353,67.0,0.9852941176470589,1.0,0.014705882352941176,36.0,48.0,1.0,12.520555555555555,0.3477932098765432,0.1798611111111111,0.7034545644674127,-0.07111111111111111,3.3577777777777778,327.46833333333336,9.096342592592594,9.353055555555557,1.699597294480043,0.4652777777777778,11.189166666666667,19.0,0.5277777777777778,34.0,0.9444444444444444,2.0,0.05555555555555555,35.0,0.9722222222222222,1.0,0.027777777777777776,1
ОРГ1-00065,49,178,1,2.0877777777777777,0.042607709750566894,-0.021944444444444444,0.4137761654240928,-0.3325,2.2875,429.4163888888889,8.76359977324263,9.016111111111112,1.3762967206208911,0.25027777777777777,11.109444444444444,5,0.10204081632653061,47,0.9591836734693877,2,0.04081632653061224,49,1.0,0,0.0,2.412451622971286,39.0,121.0,1.0,3.7752777777777777,0.0968019943019943,-0.005833333333333334,0.4460651866195309,-0.3325,2.2875,336.5991666666667,8.630747863247864,9.015,1.4733679464836669,0.25027777777777777,9.270833333333334,5.0,0.1282051282051282,37.0,0.9487179487179487,2.0,0.05128205128205128,39.0,1.0,0.0,0.0,38.0,66.0,1.0,1.4877777777777779,0.03915204678362574,-0.009166666666666667,0.2668923434089835,-0.3325,1.4455555555555555,336.3488888888889,8.851286549707602,9.01527777777778,0.53043585595716,6.426944444444445,9.270833333333334,4.0,0.10526315789473684,37.0,0.9736842105263158,1.0,0.02631578947368421,38.0,1.0,0.0,0.0,33.0,45.0,1.0,1.7533333333333334,0.05313131313131313,-0.005277777777777778,0.2765543829694594,-0.3325,1.4455555555555555,291.59944444444443,8.836346801346801,9.015,0.561772957444306,6.426944444444445,9.270833333333334,3.0,0.09090909090909091,32.0,0.9696969696969697,1.0,0.030303030303030304,33.0,1.0,0.0,0.0,1
ОРГ1-00069,96,162,1,16.10833333333333,0.16779513888888886,-0.1611111111111111,2.131945062503483,-8.266666666666667,12.313611111111111,856.8688888888889,8.925717592592592,9.267499999999998,2.1654979456489722,0.08333333333333333,12.273333333333333,11,0.11458333333333333,89,0.9270833333333334,7,0.07291666666666667,94,0.9791666666666666,2,0.020833333333333332,5.289314128943759,88.0,143.0,1.0,11.44361111111111,0.13004103535353534,-0.1572222222222222,2.17230254680763,-8.266666666666667,12.313611111111111,797.3308333333333,9.060577651515151,9.267499999999998,1.9775196313753243,0.16666666666666666,12.273333333333333,9.0,0.10227272727272728,83.0,0.9431818181818182,5.0,0.056818181818181816,86.0,0.9772727272727273,2.0,0.022727272727272728,56.0,98.0,1.0,17.130555555555553,0.30590277777777775,-0.11208333333333334,2.711727077654915,-8.266666666666667,12.313611111111111,494.12361111111113,8.823635912698412,9.264444444444445,2.287291736011193,0.16666666666666666,12.273333333333333,8.0,0.14285714285714285,51.0,0.9107142857142857,5.0,0.08928571428571429,54.0,0.9642857142857143,2.0,0.03571428571428571,35.0,48.0,1.0,-6.025277777777778,-0.17215079365079367,-0.1852777777777778,0.5724246038728558,-1.3619444444444444,2.3716666666666666,332.30111111111114,9.494317460317461,9.35,1.1820024857350544,5.848611111111111,12.273333333333333,3.0,0.08571428571428572,34.0,0.9714285714285714,1.0,0.02857142857142857,35.0,1.0,0.0,0.0,1
