id,date_network_count_total,date_network_work_period_by_network_total,date_network_days_since_last_network_appearence_total,monitor_Time_mean_total,monitor_Time_median_total,monitor_Time_sum_total,is_workday_connection_mean_total,is_workday_connection_sum_total,is_weekend_connection_mean_total,is_weekend_connection_sum_total,network_mean_by_work_period_total,date_network_count_last_50,date_network_work_period_by_network_last_50,date_network_days_since_last_network_appearence_last_50,monitor_Time_mean_last_50,monitor_Time_median_last_50,monitor_Time_sum_last_50,is_workday_connection_mean_last_50,is_workday_connection_sum_last_50,is_weekend_connection_mean_last_50,is_weekend_connection_sum_last_50,date_network_count_last_100,date_network_work_period_by_network_last_100,date_network_days_since_last_network_appearence_last_100,monitor_Time_mean_last_100,monitor_Time_median_last_100,monitor_Time_sum_last_100,is_workday_connection_mean_last_100,is_workday_connection_sum_last_100,is_weekend_connection_mean_last_100,is_weekend_connection_sum_last_100,date_network_count_last_150,date_network_work_period_by_network_last_150,date_network_days_since_last_network_appearence_last_150,monitor_Time_mean_last_150,monitor_Time_median_last_150,monitor_Time_sum_last_150,is_workday_connection_mean_last_150,is_workday_connection_sum_last_150,is_weekend_connection_mean_last_150,is_weekend_connection_sum_last_150,exists_in_network
ОРГ1-00004,165,191,0,22800.187878787878,24005.0,3762031,0.8121212121212121,134.0,0.18787878787878787,31.0,19696.49738219895,45.0,49.0,0.0,22305.666666666668,25203.0,1003755.0,0.8,36.0,0.2,9.0,89.0,99.0,0.0,23703.606741573032,24614.0,2109621.0,0.7752808988764045,69.0,0.2247191011235955,20.0,125.0,149.0,0.0,23421.424,24602.0,2927678.0,0.84,105.0,0.16,20.0,1
ОРГ1-00028,130,191,0,44418.16923076923,46074.5,5774362,0.9923076923076923,129.0,0.007692307692307693,1.0,30232.261780104713,37.0,49.0,0.0,45857.54054054054,47124.0,1696729.0,0.972972972972973,36.0,0.02702702702702703,1.0,70.0,99.0,0.0,47544.44285714286,48020.5,3328111.0,0.9857142857142858,69.0,0.014285714285714285,1.0,106.0,149.0,0.0,47264.50943396227,47881.0,5010038.0,0.9905660377358491,105.0,0.009433962264150943,1.0,1
ОРГ1-00030,126,191,0,47420.74603174603,52234.5,5975014,0.9761904761904762,123.0,0.023809523809523808,3.0,31282.795811518325,37.0,49.0,0.0,48932.37837837838,51019.0,1810498.0,0.972972972972973,36.0,0.02702702702702703,1.0,68.0,96.0,0.0,49026.220588235294,51619.5,3333783.0,0.9705882352941176,66.0,0.029411764705882353,2.0,101.0,149.0,0.0,48020.574257425746,51625.0,4850078.0,0.9702970297029703,98.0,0.0297029702970297,3.0,1
ОРГ1-00044,157,191,0,21542.79617834395,26111.0,3382219,0.8535031847133758,134.0,0.1464968152866242,23.0,17707.952879581153,48.0,49.0,0.0,24727.041666666668,28804.0,1186898.0,0.75,36.0,0.25,12.0,87.0,99.0,0.0,23240.597701149425,26405.0,2021932.0,0.7931034482758621,69.0,0.20689655172413793,18.0,124.0,149.0,0.0,21344.290322580644,25953.0,2646692.0,0.8467741935483871,105.0,0.1532258064516129,19.0,1
ОРГ1-00046,173,192,0,16519.35838150289,17112.0,2857849,0.6994219653179191,121.0,0.30057803468208094,52.0,14884.630208333334,49.0,49.0,0.0,20090.816326530614,23106.0,984450.0,0.7346938775510204,36.0,0.2653061224489796,13.0,98.0,99.0,0.0,18706.51020408163,19508.5,1833238.0,0.7040816326530612,69.0,0.29591836734693877,29.0,144.0,149.0,0.0,17892.958333333332,18607.5,2576586.0,0.7291666666666666,105.0,0.2708333333333333,39.0,1
ОРГ1-00049,118,191,0,24524.627118644068,25208.0,2893906,0.9661016949152542,114.0,0.03389830508474576,4.0,15151.340314136125,39.0,49.0,0.0,24887.74358974359,25210.0,970622.0,0.9230769230769231,36.0,0.07692307692307693,3.0,61.0,99.0,0.0,24060.245901639344,24925.0,1467675.0,0.9344262295081968,57.0,0.06557377049180328,4.0,89.0,149.0,0.0,24222.483146067414,25204.0,2155801.0,0.9550561797752809,85.0,0.0449438202247191,4.0,1
ОРГ1-00057,119,191,0,16660.420168067227,16811.0,1982590,0.9915966386554622,118.0,0.008403361344537815,1.0,10380.052356020942,28.0,49.0,0.0,16434.14285714286,16802.0,460156.0,1.0,28.0,0.0,0.0,58.0,99.0,0.0,17462.741379310344,17411.5,1012839.0,1.0,58.0,0.0,0.0,89.0,149.0,0.0,16924.43820224719,17104.0,1506275.0,1.0,89.0,0.0,0.0,1
ОРГ1-00063,123,191,0,21158.463414634145,22803.0,2602491,0.975609756097561,120.0,0.024390243902439025,3.0,13625.607329842933,37.0,49.0,0.0,22669.64864864865,22802.0,838777.0,0.972972972972973,36.0,0.02702702702702703,1.0,69.0,99.0,0.0,22956.0,23405.0,1583964.0,0.9855072463768116,68.0,0.014492753623188406,1.0,97.0,140.0,0.0,22931.340206185567,23107.0,2224340.0,0.9896907216494846,96.0,0.010309278350515464,1.0,1
ОРГ1-00065,48,177,0,15005.75,14104.0,720276,1.0,48.0,0.0,0.0,4069.35593220339,32.0,44.0,0.0,13119.90625,12753.0,419837.0,1.0,32.0,0.0,0.0,37.0,65.0,0.0,13885.513513513513,13803.0,513764.0,1.0,37.0,0.0,0.0,38.0,120.0,0.0,13543.78947368421,13656.5,514664.0,1.0,38.0,0.0,0.0,1
ОРГ1-00069,95,161,0,41977.11578947368,45629.0,3987826,0.9789473684210527,93.0,0.021052631578947368,2.0,24769.10559006211,36.0,49.0,0.0,41844.63888888889,42620.0,1506407.0,1.0,36.0,0.0,0.0,57.0,99.0,0.0,39771.80701754386,43218.0,2266993.0,0.9649122807017544,55.0,0.03508771929824561,2.0,88.0,148.0,0.0,42396.39772727273,45915.0,3730883.0,0.9772727272727273,86.0,0.022727272727272728,2.0,1
ОРГ1-00074,133,191,0,24090.157894736843,24904.0,3203991,0.9172932330827067,122.0,0.08270676691729323,11.0,16774.821989528795,44.0,49.0,0.0,22695.613636363636,25357.0,998607.0,0.8181818181818182,36.0,0.18181818181818182,8.0,78.0,99.0,0.0,23555.384615384617,25056.0,1837320.0,0.8846153846153846,69.0,0.11538461538461539,9.0,102.0,133.0,0.0,23393.63725490196,24602.0,2386151.0,0.9117647058823529,93.0,0.08823529411764706,9.0,1
