id,date_skud_days_since_last_record,date_skud_count,total_time_skud_sum,total_time_skud_mean,total_time_skud_median,work_time_skud_sum,work_time_skud_mean,work_time_skud_median,is_weekend_skud_sum,is_weekend_skud_mean,is_workdays_skud_sum,is_workdays_skud_mean,exists_in_skud
ОРГ1-00002,0,32,362.0,11.3125,11.208333333333332,329.0,10.28125,10.208333333333332,0,0.0,32,1.0,1
ОРГ1-00004,0,32,299.31666666666666,9.353645833333333,9.566666666666666,269.31666666666666,8.416145833333333,8.566666666666666,0,0.0,32,1.0,1
ОРГ1-00005,0,35,322.6333333333333,9.218095238095238,10.299999999999999,292.6333333333333,8.36095238095238,9.299999999999999,5,0.14285714285714285,30,0.8571428571428571,1
ОРГ1-00008,0,14,76.0,5.428571428571429,4.408333333333333,70.0,5.0,4.408333333333333,0,0.0,14,1.0,1
ОРГ1-00010,0,34,281.3666666666667,8.275490196078431,9.091666666666667,252.36666666666665,7.4225490196078425,8.091666666666667,2,0.058823529411764705,32,0.9411764705882353,1
ОРГ1-00014,0,28,279.5,9.982142857142858,9.916666666666666,251.5,8.982142857142858,8.916666666666666,0,0.0,28,1.0,1
ОРГ1-00023,0,27,249.08333333333331,9.225308641975309,9.25,222.08333333333331,8.225308641975309,8.25,0,0.0,27,1.0,1
ОРГ1-00025,6,9,78.21666666666667,8.690740740740742,9.366666666666667,70.21666666666667,7.801851851851852,8.366666666666667,0,0.0,9,1.0,1
ОРГ1-00026,0,32,292.2833333333333,9.133854166666666,9.266666666666666,260.2833333333333,8.133854166666666,8.266666666666666,0,0.0,32,1.0,1
ОРГ1-00027,0,33,303.8333333333333,9.207070707070706,9.4,271.8333333333333,8.237373737373737,8.4,2,0.06060606060606061,31,0.9393939393939394,1
ОРГ1-00028,0,32,313.6166666666667,9.800520833333334,9.774999999999999,281.6166666666667,8.800520833333334,8.774999999999999,0,0.0,32,1.0,1
ОРГ1-00030,0,32,309.1166666666667,9.659895833333334,9.333333333333332,277.1166666666667,8.659895833333334,8.333333333333332,0,0.0,32,1.0,1
ОРГ1-00031,0,32,304.34999999999997,9.510937499999999,9.475,272.34999999999997,8.510937499999999,8.475,0,0.0,32,1.0,1
ОРГ1-00032,0,23,206.15,8.96304347826087,9.316666666666666,184.15,8.006521739130434,8.316666666666666,0,0.0,23,1.0,1
ОРГ1-00034,0,32,297.98333333333335,9.311979166666667,9.4,265.98333333333335,8.311979166666667,8.4,0,0.0,32,1.0,1
ОРГ1-00035,0,23,219.33333333333331,9.53623188405797,9.633333333333333,196.33333333333331,8.53623188405797,8.633333333333333,0,0.0,23,1.0,1
ОРГ1-00036,0,26,246.46666666666664,9.479487179487178,9.433333333333334,220.46666666666664,8.479487179487178,8.433333333333334,0,0.0,26,1.0,1
ОРГ1-00037,0,32,291.0333333333333,9.094791666666666,9.2,260.0333333333333,8.126041666666666,8.2,0,0.0,32,1.0,1
ОРГ1-00038,0,14,143.61666666666667,10.258333333333335,9.774999999999999,129.61666666666667,9.258333333333335,8.774999999999999,0,0.0,14,1.0,1
ОРГ1-00043,0,11,101.44999999999999,9.22272727272727,9.433333333333334,90.44999999999999,8.22272727272727,8.433333333333334,0,0.0,11,1.0,1
ОРГ1-00044,0,31,332.21666666666664,10.716666666666665,10.95,301.21666666666664,9.716666666666665,9.95,0,0.0,31,1.0,1
ОРГ1-00045,0,32,299.9833333333333,9.374479166666665,9.333333333333332,267.9833333333333,8.374479166666665,8.333333333333332,0,0.0,32,1.0,1
ОРГ1-00046,13,17,147.2,8.658823529411764,9.566666666666666,133.2,7.8352941176470585,8.566666666666666,0,0.0,17,1.0,1
ОРГ1-00047,0,30,311.73333333333335,10.391111111111112,10.3,281.73333333333335,9.391111111111112,9.3,0,0.0,30,1.0,1
ОРГ1-00048,0,18,168.28333333333333,9.349074074074075,9.341666666666665,150.28333333333333,8.349074074074075,8.341666666666665,0,0.0,18,1.0,1
