id,date_start_task_work_period_by_tasks_total,date_final_task_fact_days_since_last_task_total,days_to_complete_min_total,days_to_complete_max_total,days_to_complete_median_total,days_to_complete_mean_total,days_to_complete_std_total,days_to_complete_sum_total,is_expired_task_mean_total,is_expired_task_sum_total,is_intime_task_mean_total,is_intime_task_sum_total,expired_level_mean_total,expired_level__0_mean_total,expired_level__0_sum_total,expired_level__1_mean_total,expired_level__1_sum_total,expired_level__2_mean_total,expired_level__2_sum_total,expired_level__3_mean_total,expired_level__3_sum_total,task_status_back_from_delegation_mean_total,task_status_back_from_delegation_sum_total,task_status_completed_mean_total,task_status_completed_sum_total,task_status_delegated_mean_total,task_status_delegated_sum_total,task_status_in_work_mean_total,task_status_in_work_sum_total,task_status_not_started_mean_total,task_status_not_started_sum_total,task_status_on_check_mean_total,task_status_on_check_sum_total,task_status_postponed_mean_total,task_status_postponed_sum_total,date_start_task_work_period_by_tasks_last_50,date_final_task_fact_days_since_last_task_last_50,days_to_complete_min_last_50,days_to_complete_max_last_50,days_to_complete_median_last_50,days_to_complete_mean_last_50,days_to_complete_std_last_50,days_to_complete_sum_last_50,is_expired_task_mean_last_50,is_expired_task_sum_last_50,is_intime_task_mean_last_50,is_intime_task_sum_last_50,expired_level_mean_last_50,expired_level__0_mean_last_50,expired_level__0_sum_last_50,expired_level__1_mean_last_50,expired_level__1_sum_last_50,expired_level__2_mean_last_50,expired_level__2_sum_last_50,expired_level__3_mean_last_50,expired_level__3_sum_last_50,task_status_back_from_delegation_mean_last_50,task_status_back_from_delegation_sum_last_50,task_status_completed_mean_last_50,task_status_completed_sum_last_50,task_status_delegated_mean_last_50,task_status_delegated_sum_last_50,task_status_in_work_mean_last_50,task_status_in_work_sum_last_50,task_status_not_started_mean_last_50,task_status_not_started_sum_last_50,task_status_on_check_mean_last_50,task_status_on_check_sum_last_50,task_status_postponed_mean_last_50,task_status_postponed_sum_last_50,date_start_task_work_period_by_tasks_last_100,date_final_task_fact_days_since_last_task_last_100,days_to_complete_min_last_100,days_to_complete_max_last_100,days_to_complete_median_last_100,days_to_complete_mean_last_100,days_to_complete_std_last_100,days_to_complete_sum_last_100,is_expired_task_mean_last_100,is_expired_task_sum_last_100,is_intime_task_mean_last_100,is_intime_task_sum_last_100,expired_level_mean_last_100,expired_level__0_mean_last_100,expired_level__0_sum_last_100,expired_level__1_mean_last_100,expired_level__1_sum_last_100,expired_level__2_mean_last_100,expired_level__2_sum_last_100,expired_level__3_mean_last_100,expired_level__3_sum_last_100,task_status_back_from_delegation_mean_last_100,task_status_back_from_delegation_sum_last_100,task_status_completed_mean_last_100,task_status_completed_sum_last_100,task_status_delegated_mean_last_100,task_status_delegated_sum_last_100,task_status_in_work_mean_last_100,task_status_in_work_sum_last_100,task_status_not_started_mean_last_100,task_status_not_started_sum_last_100,task_status_on_check_mean_last_100,task_status_on_check_sum_last_100,task_status_postponed_mean_last_100,task_status_postponed_sum_last_100,date_start_task_work_period_by_tasks_last_150,date_final_task_fact_days_since_last_task_last_150,days_to_complete_min_last_150,days_to_complete_max_last_150,days_to_complete_median_last_150,days_to_complete_mean_last_150,days_to_complete_std_last_150,days_to_complete_sum_last_150,is_expired_task_mean_last_150,is_expired_task_sum_last_150,is_intime_task_mean_last_150,is_intime_task_sum_last_150,expired_level_mean_last_150,expired_level__0_mean_last_150,expired_level__0_sum_last_150,expired_level__1_mean_last_150,expired_level__1_sum_last_150,expired_level__2_mean_last_150,expired_level__2_sum_last_150,expired_level__3_mean_last_150,expired_level__3_sum_last_150,task_status_back_from_delegation_mean_last_150,task_status_back_from_delegation_sum_last_150,task_status_completed_mean_last_150,task_status_completed_sum_last_150,task_status_delegated_mean_last_150,task_status_delegated_sum_last_150,task_status_in_work_mean_last_150,task_status_in_work_sum_last_150,task_status_not_started_mean_last_150,task_status_not_started_sum_last_150,task_status_on_check_mean_last_150,task_status_on_check_sum_last_150,task_status_postponed_mean_last_150,task_status_postponed_sum_last_150,exists_in_tasks
ОРГ1-00004,374,152.0,0.0,176.0,0.0,2.020942408376963,6.883021156909368,2316.0,0.10383944153577661,119,0.8961605584642234,1027,0.17539267015706805,0.8961605584642234,1027.0,0.059336823734729496,68.0,0.017452006980802792,20.0,0.027050610820244327,31.0,0.0,0,0.9755671902268761,1118.0,0.0,0,0.02443280977312391,28.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00005,702,109.0,0.0,661.0,1.0,3.3294276701216763,17.079168919733544,7388.0,0.025236593059936908,56,0.9747634069400631,2163,0.04596665164488508,0.9747634069400631,2163.0,0.01216764308246958,27.0,0.005407841369986481,12.0,0.0076611086074808476,17.0,0.0,0,1.0,2219.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00028,479,172.0,0.0,198.0,0.0,1.1926229508196722,12.750525966930962,291.0,0.036885245901639344,9,0.9631147540983607,235,0.04918032786885246,0.9631147540983607,235.0,0.02459016393442623,6.0,0.012295081967213115,3.0,0.0,0.0,0.0,0,0.9918032786885246,242.0,0.0,0,0.00819672131147541,2.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00030,342,173.0,0.0,12.0,0.0,1.3055555555555556,2.5502878766853465,47.0,0.1388888888888889,5,0.8611111111111112,31,0.16666666666666666,0.8611111111111112,31.0,0.1111111111111111,4.0,0.027777777777777776,1.0,0.0,0.0,0.0,0,1.0,36.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00044,538,109.0,-4.0,567.0,1.0,13.321656050955413,50.06176736673727,4183.0,0.28662420382165604,90,0.7133757961783439,224,0.46178343949044587,0.7133757961783439,224.0,0.1624203821656051,51.0,0.0732484076433121,23.0,0.050955414012738856,16.0,0.0,0,1.0,314.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00046,1690,161.0,-2.0,1639.0,0.0,2.0340967797485794,36.652390575532934,11812.0,0.18305493370070605,1063,0.816945066299294,4744,0.49939727914585846,0.816945066299294,4744.0,0.020320303082486654,118.0,0.009126915791286378,53.0,0.153607714826933,892.0,0.0,0,0.7601171000516618,4414.0,0.00017220595832615808,1,0.17840537282589977,1036.0,0.059755467539176856,347.0,0.0008610297916307905,5,0.0006888238333046323,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00049,328,189.0,0.0,11.0,0.0,1.0266666666666666,2.50929802466279,77.0,0.09333333333333334,7,0.9066666666666666,68,0.10666666666666667,0.9066666666666666,68.0,0.08,6.0,0.013333333333333334,1.0,0.0,0.0,0.0,0,1.0,75.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00057,349,172.0,0.0,115.0,0.0,2.2131147540983607,11.062728362079985,270.0,0.10655737704918032,13,0.8934426229508197,109,0.12295081967213115,0.8934426229508197,109.0,0.09836065573770492,12.0,0.0,0.0,0.00819672131147541,1.0,0.0,0,1.0,122.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00063,337,199.0,0.0,98.0,4.0,11.11111111111111,21.658775683370568,300.0,0.5185185185185185,14,0.48148148148148145,13,0.7777777777777778,0.48148148148148145,13.0,0.37037037037037035,10.0,0.037037037037037035,1.0,0.1111111111111111,3.0,0.0,0,0.9629629629629629,26.0,0.0,0,0.037037037037037035,1.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
ОРГ1-00065,331,194.0,0.0,83.0,0.0,9.0,21.421173326096465,279.0,0.3870967741935484,12,0.6129032258064516,19,0.6774193548387096,0.6129032258064516,19.0,0.22580645161290322,7.0,0.03225806451612903,1.0,0.12903225806451613,4.0,0.0,0,1.0,31.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
