id,date_work_period_by_work_total,date_days_since_last_work_total,activeTime_mean_total,activeTime_median_total,activeTime_min_total,activeTime_max_total,activeTime_count_total,activeTime_std_total,monitorTime_mean_total,monitorTime_median_total,monitorTime_min_total,monitorTime_max_total,monitorTime_count_total,monitorTime_std_total,active_monitor_ratio_mean_total,active_monitor_ratio_median_total,active_monitor_ratio_min_total,active_monitor_ratio_max_total,active_monitor_ratio_count_total,active_monitor_ratio_std_total,is_weekend_work_sum_total,is_weekend_work_mean_total,is_workday_work_sum_total,is_workday_work_mean_total,date_work_period_by_work_last_50,date_days_since_last_work_last_50,activeTime_mean_last_50,activeTime_median_last_50,activeTime_min_last_50,activeTime_max_last_50,activeTime_count_last_50,activeTime_std_last_50,monitorTime_mean_last_50,monitorTime_median_last_50,monitorTime_min_last_50,monitorTime_max_last_50,monitorTime_count_last_50,monitorTime_std_last_50,active_monitor_ratio_mean_last_50,active_monitor_ratio_median_last_50,active_monitor_ratio_min_last_50,active_monitor_ratio_max_last_50,active_monitor_ratio_count_last_50,active_monitor_ratio_std_last_50,is_weekend_work_sum_last_50,is_weekend_work_mean_last_50,is_workday_work_sum_last_50,is_workday_work_mean_last_50,date_work_period_by_work_last_100,date_days_since_last_work_last_100,activeTime_mean_last_100,activeTime_median_last_100,activeTime_min_last_100,activeTime_max_last_100,activeTime_count_last_100,activeTime_std_last_100,monitorTime_mean_last_100,monitorTime_median_last_100,monitorTime_min_last_100,monitorTime_max_last_100,monitorTime_count_last_100,monitorTime_std_last_100,active_monitor_ratio_mean_last_100,active_monitor_ratio_median_last_100,active_monitor_ratio_min_last_100,active_monitor_ratio_max_last_100,active_monitor_ratio_count_last_100,active_monitor_ratio_std_last_100,is_weekend_work_sum_last_100,is_weekend_work_mean_last_100,is_workday_work_sum_last_100,is_workday_work_mean_last_100,date_work_period_by_work_last_150,date_days_since_last_work_last_150,activeTime_mean_last_150,activeTime_median_last_150,activeTime_min_last_150,activeTime_max_last_150,activeTime_count_last_150,activeTime_std_last_150,monitorTime_mean_last_150,monitorTime_median_last_150,monitorTime_min_last_150,monitorTime_max_last_150,monitorTime_count_last_150,monitorTime_std_last_150,active_monitor_ratio_mean_last_150,active_monitor_ratio_median_last_150,active_monitor_ratio_min_last_150,active_monitor_ratio_max_last_150,active_monitor_ratio_count_last_150,active_monitor_ratio_std_last_150,is_weekend_work_sum_last_150,is_weekend_work_mean_last_150,is_workday_work_sum_last_150,is_workday_work_mean_last_150,exists_in_work
ОРГ1-00004,193,0,15347.47311827957,16902.0,0,54475,186,10239.77074394064,60652.92473118279,65412.0,67,98236,186,27523.520892280798,0.32041101451173865,0.29016353498942465,0.0,1.0,186,0.22169969791457805,51.0,0.27419354838709675,135.0,0.7258064516129032,49.0,0.0,15127.28,18073.0,0.0,37818.0,50.0,9382.351500295757,64130.16,64915.0,125.0,98236.0,50.0,22639.619478629556,0.2892371268882253,0.25636462280939365,0.0,1.0,50.0,0.22204715377006332,15.0,0.3,35.0,0.7,99.0,0.0,16676.05154639175,18425.0,0.0,54475.0,97.0,11216.440765467092,62390.9587628866,62943.0,125.0,98236.0,97.0,23675.10658279314,0.32027394554010596,0.29319912508101104,0.0,1.0,97.0,0.2227213049996684,29.0,0.29896907216494845,68.0,0.7010309278350515,149.0,0.0,15794.811188811189,17413.0,0.0,54475.0,143.0,10663.354142894033,65787.67132867133,75571.0,125.0,98236.0,143.0,24850.931959109403,0.29248356737682973,0.2654416481153077,0.0,1.0,143.0,0.2096588007699792,39.0,0.2727272727272727,104.0,0.7272727272727273,1
ОРГ1-00028,194,0,25123.30601092896,28790.0,0,71839,183,19297.778915478273,92191.55737704918,87343.0,40251,119366,183,11890.907810875704,0.26207352557413083,0.3245662491685738,0.0,0.7143560445599533,183,0.19736924927419852,48.0,0.26229508196721313,135.0,0.7377049180327869,49.0,0.0,25922.34,32714.0,0.0,55900.0,50.0,17926.586599989936,95112.12,95788.0,71735.0,114257.0,50.0,8839.583187236918,0.26172249015809934,0.3428771995073733,0.0,0.5484909737227295,50.0,0.1773920633963704,15.0,0.3,35.0,0.7,99.0,0.0,27907.78125,33916.5,0.0,71839.0,96.0,19482.02045082546,95919.80208333333,96597.5,71735.0,119366.0,96.0,10178.539028263847,0.2792598397560219,0.34531268379248725,0.0,0.6528712535709098,96.0,0.19179931650562712,28.0,0.2916666666666667,68.0,0.7083333333333334,149.0,0.0,29288.678571428572,35532.5,0.0,71839.0,140.0,19219.893131208537,95130.55714285714,96313.0,68183.0,119366.0,140.0,10640.465391368587,0.2990417641735321,0.3555179171078944,0.0,0.7143560445599533,140.0,0.1958393884248633,36.0,0.2571428571428571,104.0,0.7428571428571429,1
ОРГ1-00030,192,1,31208.84251968504,34235.0,32,46665,127,10409.85663749018,37781.90551181103,40002.0,43,65392,127,12339.553955325857,0.8277773256413999,0.8682734999365723,0.11337502521686504,1.0,127,0.13187124857642407,3.0,0.023622047244094488,124.0,0.9763779527559056,48.0,1.0,32110.833333333332,33967.0,3956.0,41884.0,36.0,6589.62796044988,39119.38888888889,39332.5,4087.0,57422.0,36.0,7581.1524954145425,0.8287871299145274,0.862337609244755,0.4623518824058797,0.9679471494984095,36.0,0.10763044142193016,1.0,0.027777777777777776,35.0,0.9722222222222222,97.0,1.0,32677.289855072464,34258.0,32.0,46665.0,69.0,8116.5850199044135,39757.89855072464,40052.0,43.0,65392.0,69.0,9871.844720250272,0.8264442115922922,0.8470470624423254,0.4623518824058797,0.9679471494984095,69.0,0.09346190419936524,2.0,0.028985507246376812,67.0,0.9710144927536232,148.0,1.0,31850.99,34229.0,32.0,46665.0,100.0,9081.258650466172,38565.83,39989.5,43.0,65392.0,100.0,10911.29550405765,0.834180753614175,0.8646570203410643,0.4623518824058797,1.0,100.0,0.09602850434120465,3.0,0.03,97.0,0.97,1
ОРГ1-00044,192,1,18086.50310559006,21150.0,31,38583,161,10235.256524706783,27303.31055900621,31168.0,31,49421,161,12882.572485355957,0.620894084855488,0.6644193548387097,0.0687085171863992,1.0,161,0.1701556574727053,26.0,0.16149068322981366,135.0,0.8385093167701864,48.0,1.0,21100.770833333332,24499.0,31.0,38583.0,48.0,10403.42062249205,32414.645833333332,34089.0,31.0,49421.0,48.0,12111.627224317683,0.6250245158977504,0.6679600151887541,0.0687085171863992,1.0,48.0,0.1809992309058947,13.0,0.2708333333333333,35.0,0.7291666666666666,98.0,1.0,19690.113636363636,22444.0,31.0,38583.0,88.0,9750.178643140094,30247.386363636364,31940.5,31.0,49421.0,88.0,11937.508067452834,0.6183466428824357,0.6671780297157147,0.0687085171863992,1.0,88.0,0.17467477139655338,20.0,0.22727272727272727,68.0,0.7727272727272727,148.0,1.0,18145.61111111111,21203.5,31.0,38583.0,126.0,10204.72234054193,27606.126984126986,31225.5,31.0,49421.0,126.0,13011.726114537842,0.6163098149594488,0.661565253831957,0.0687085171863992,1.0,126.0,0.16680659639762754,22.0,0.1746031746031746,104.0,0.8253968253968254,1
ОРГ1-00046,194,0,14189.937142857143,14441.0,1,30455,175,8336.534758722155,32117.274285714284,24059.0,1,1152932,175,91936.92504474444,0.6239712919507628,0.7044490163302044,0.014644402271773183,1.0,175,0.221584857314208,53.0,0.3028571428571429,122.0,0.6971428571428572,49.0,0.0,16901.285714285714,19267.0,42.0,29959.0,49.0,8353.547006112633,47838.510204081635,25599.0,42.0,1152932.0,49.0,161934.09293458486,0.6894929377048931,0.7500311733654765,0.014644402271773183,1.0,49.0,0.20265913912995023,14.0,0.2857142857142857,35.0,0.7142857142857143,99.0,0.0,15797.183673469388,15705.0,1.0,30455.0,98.0,8174.910952378524,37911.76530612245,25567.5,1.0,1152932.0,98.0,115286.90002948412,0.6593857612871659,0.7208739857579691,0.014644402271773183,1.0,98.0,0.2110524570583479,30.0,0.30612244897959184,68.0,0.6938775510204082,149.0,0.0,15355.666666666666,15658.5,1.0,30455.0,144.0,7995.391380581148,35411.86111111111,24806.5,1.0,1152932.0,144.0,100953.54382413677,0.6509316896748807,0.7188797187297384,0.014644402271773183,1.0,144.0,0.20923692748012965,40.0,0.2777777777777778,104.0,0.7222222222222222,1
ОРГ1-00049,194,0,16425.358823529412,23135.5,0,31907,170,11363.757424871063,81951.4588235294,85519.5,14754,86629,170,11485.433699583367,0.21080828320272532,0.27621350353146135,0.0,0.8693549916253199,170,0.16025868664850032,48.0,0.2823529411764706,122.0,0.7176470588235294,49.0,0.0,18309.285714285714,23763.0,0.0,29273.0,49.0,10449.527445455766,80010.9387755102,85487.0,27782.0,86546.0,49.0,13353.661023305189,0.24674862478218307,0.28348381212950297,0.0,0.8122885321431143,49.0,0.1697807292684069,14.0,0.2857142857142857,35.0,0.7142857142857143,99.0,0.0,17697.897435897437,23522.0,0.0,29273.0,78.0,10516.712532101013,80099.41025641025,85456.0,14754.0,86568.0,78.0,14131.326860648682,0.23612760750260015,0.2797253313809332,0.0,0.8122885321431143,78.0,0.15812165992485075,22.0,0.28205128205128205,56.0,0.717948717948718,149.0,0.0,16040.031496062993,23318.0,0.0,29273.0,127.0,11384.353311995084,81719.94488188977,85555.0,14754.0,86629.0,127.0,12011.217285168937,0.20585729117853963,0.2763506076856427,0.0,0.8122885321431143,127.0,0.1570736309915467,36.0,0.28346456692913385,91.0,0.7165354330708661,1
ОРГ1-00057,193,0,13962.354838709678,14357.5,0,22945,124,4341.030120514274,32689.024193548386,29250.0,29,86338,124,16617.28610475293,0.4885159336328867,0.5066646580992038,0.0,1.0,124,0.16341224136304386,5.0,0.04032258064516129,119.0,0.9596774193548387,49.0,0.0,12705.0,13837.0,0.0,18127.0,30.0,4986.406922825292,47810.3,29515.0,23546.0,86338.0,30.0,27787.436007527103,0.379555265076236,0.42195494988741444,0.0,0.7211282173688188,30.0,0.22300812433003947,3.0,0.1,27.0,0.9,99.0,0.0,14113.77049180328,15111.0,0.0,21987.0,61.0,4679.737529653568,38051.311475409835,29858.0,29.0,86338.0,61.0,22009.418271534712,0.46957302419785907,0.507413729624795,0.0,1.0,61.0,0.19796316814224743,4.0,0.06557377049180328,57.0,0.9344262295081968,149.0,0.0,13930.467391304348,14243.0,0.0,21987.0,92.0,4188.243116811439,34906.760869565216,29476.0,29.0,86338.0,92.0,18480.706044959705,0.47090870743877056,0.4969927186319744,0.0,1.0,92.0,0.17039764344589198,4.0,0.043478260869565216,88.0,0.9565217391304348,1
ОРГ1-00063,193,1,13283.533333333333,17728.0,0,31787,180,10486.297393856532,79986.58333333333,84781.0,164,95647,180,17249.757517808295,0.18306478032335882,0.22975264971724113,0.0,1.0,180,0.16496656867397574,53.0,0.29444444444444445,127.0,0.7055555555555556,48.0,1.0,15373.204081632653,19581.0,0.0,29621.0,49.0,10183.765661130283,83979.48979591837,84539.0,61598.0,86675.0,49.0,3562.1855599386404,0.18494005494654797,0.23406384934998428,0.0,0.3524463376326686,49.0,0.12252215668250103,14.0,0.2857142857142857,35.0,0.7142857142857143,98.0,1.0,14324.888888888889,19476.0,0.0,29621.0,99.0,10391.314746508151,84358.33333333333,84684.0,61598.0,86675.0,99.0,2697.8241686399733,0.17147467278511583,0.23234468360809157,0.0,0.3524463376326686,99.0,0.12440504036992932,31.0,0.31313131313131315,68.0,0.6868686868686869,142.0,1.0,14408.577464788732,19164.0,0.0,31787.0,142.0,10486.17030155659,82269.69014084506,84674.5,8265.0,86675.0,142.0,10664.53659351264,0.17470008677590573,0.23044935676414907,0.0,0.3807647157471072,142.0,0.12685320675128386,43.0,0.3028169014084507,99.0,0.6971830985915493,1
ОРГ1-00065,194,0,4845.22794117647,0.0,0,35033,136,7312.230643058764,83460.52205882352,85952.5,39280,101418,136,7720.942146470173,0.06083271982885969,0.0,0.0,0.3686341030880142,136,0.09219888412661725,41.0,0.3014705882352941,95.0,0.6985294117647058,49.0,0.0,7886.86,8896.0,0.0,26968.0,50.0,6652.817994332498,82706.86,84548.5,49688.0,90454.0,50.0,7053.241790518044,0.0961951915646359,0.10825307771593433,0.0,0.30527852930189386,50.0,0.08014961384387126,15.0,0.3,35.0,0.7,67.0,0.0,7011.0,7171.5,0.0,26968.0,68.0,7023.902837783767,82801.57352941176,85485.0,48906.0,90454.0,68.0,7482.227973155719,0.08767233638431354,0.0855366285242966,0.0,0.35981270191796505,68.0,0.08998635741899441,21.0,0.3088235294117647,47.0,0.6911764705882353,149.0,0.0,4973.770833333333,0.0,0.0,26968.0,96.0,6707.0992090143845,83278.46875,85560.0,39280.0,90454.0,96.0,7895.527780036553,0.06229588779700146,0.0,0.0,0.35981270191796505,96.0,0.08540971424158773,29.0,0.3020833333333333,67.0,0.6979166666666666,1
ОРГ1-00069,162,1,32891.541666666664,34897.0,128,59247,96,12024.390005683108,43314.385416666664,44438.5,128,100462,96,14306.746163128993,0.7588159886958546,0.7889787290158599,0.2134385313531353,1.0,96,0.13272330569928134,2.0,0.020833333333333332,94.0,0.9791666666666666,48.0,1.0,33413.171428571426,32858.0,13548.0,59247.0,35.0,10884.252200759955,46666.171428571426,43210.0,25920.0,100462.0,35.0,14886.422834021521,0.7184444825413002,0.7639824228399075,0.3557993085281528,0.916265102311614,35.0,0.1339747197805802,0.0,0.0,35.0,1.0,98.0,1.0,31667.821428571428,33039.0,269.0,59247.0,56.0,12087.776384892666,43433.41071428572,42922.0,269.0,100462.0,56.0,15470.374468966967,0.7297490487618676,0.7681270690199731,0.2134385313531353,1.0,56.0,0.14632842165722854,2.0,0.03571428571428571,54.0,0.9642857142857143,143.0,1.0,33722.88636363636,35570.5,269.0,59247.0,88.0,11286.89090532807,44560.13636363636,45143.0,269.0,100462.0,88.0,13187.958628453038,0.7534296409988671,0.7860727985434885,0.2134385313531353,1.0,88.0,0.13268378706147735,2.0,0.022727272727272728,86.0,0.9772727272727273,1
