id,type
ОРГ1-02050,2
ОРГ1-02783,2
ОРГ2-06173,0
ОРГ2-05359,2
ОРГ1-00803,2
ОРГ1-01546,0
ОРГ1-00254,2
ОРГ1-00741,2
ОРГ2-06468,2
ОРГ2-04027,0
ОРГ1-01692,2
ОРГ1-02857,2
ОРГ1-01138,0
ОРГ1-01883,2
ОРГ1-01301,1
ОРГ1-00442,1
ОРГ1-01731,1
ОРГ1-01680,2
ОРГ1-01068,2
ОРГ1-01628,0
ОРГ2-02286,2
ОРГ1-02717,2
ОРГ1-01655,3
ОРГ1-02086,2
ОРГ1-01647,2
ОРГ2-00533,2
ОРГ2-05202,1
ОРГ1-01981,2
ОРГ2-04461,1
ОРГ1-02825,2
ОРГ2-05858,2
ОРГ1-02835,3
ОРГ1-02563,0
ОРГ1-01332,1
ОРГ1-02803,2
ОРГ1-02046,0
ОРГ2-01592,2
ОРГ1-02749,1
ОРГ1-00581,2
ОРГ1-02896,3
ОРГ1-01348,1
ОРГ1-00924,0
ОРГ1-00920,2
ОРГ1-01907,2
ОРГ1-02989,2
ОРГ1-02824,2
ОРГ1-01882,0
ОРГ1-00645,0
ОРГ1-02817,2
ОРГ1-01022,2
ОРГ1-01850,2
ОРГ2-01421,1
ОРГ1-00826,2
ОРГ1-00839,2
ОРГ1-01116,2
ОРГ1-02080,2
ОРГ1-02975,1
ОРГ1-02725,0
ОРГ1-02573,2
ОРГ1-01349,0
ОРГ2-02069,0
ОРГ1-01939,2
ОРГ1-01385,2
ОРГ1-02222,2
ОРГ1-00980,1
ОРГ1-00576,0
ОРГ1-01956,0
ОРГ2-06364,1
ОРГ1-01502,2
ОРГ2-01887,0
ОРГ2-06791,1
ОРГ2-00501,1
ОРГ1-00830,3
ОРГ1-01234,2
ОРГ2-01870,0
ОРГ1-02823,2
ОРГ2-06000,2
ОРГ1-01845,0
ОРГ2-01477,1
ОРГ1-01920,2
ОРГ1-00941,2
ОРГ2-06125,1
ОРГ1-00884,2
ОРГ1-01288,3
ОРГ1-01772,2
ОРГ1-01248,2
ОРГ2-03829,1
ОРГ1-02778,2
ОРГ2-02262,0
ОРГ1-02083,2
ОРГ1-02124,0
ОРГ2-02136,1
ОРГ1-01945,0
ОРГ1-01458,2
ОРГ1-00693,2
ОРГ1-01569,2
ОРГ1-00878,2
ОРГ1-00057,2
ОРГ1-00962,2
ОРГ2-01905,0
ОРГ1-00775,1
ОРГ1-02646,2
ОРГ1-00763,0
ОРГ1-01710,2
ОРГ1-00866,0
ОРГ1-02184,2
ОРГ2-01930,2
ОРГ1-02001,0
ОРГ2-01410,0
ОРГ1-01787,2
ОРГ1-00900,0
ОРГ1-02598,0
ОРГ1-01413,2
ОРГ1-00961,2
ОРГ1-02831,2
ОРГ1-01017,3
ОРГ2-05972,0
ОРГ1-02177,2
ОРГ1-01142,1
ОРГ2-03158,2
ОРГ2-00445,1
ОРГ1-01460,2
ОРГ1-01975,2
ОРГ1-01727,1
ОРГ2-05851,2
ОРГ1-02821,2
ОРГ2-00534,2
ОРГ1-00753,0
ОРГ1-01670,0
ОРГ1-01118,0
ОРГ1-00939,0
ОРГ2-07402,2
ОРГ2-04804,2
ОРГ1-02101,2
ОРГ1-02249,2
ОРГ1-00616,0
ОРГ1-00244,2
ОРГ1-02106,2
ОРГ1-01706,2
ОРГ1-02798,2
ОРГ2-00274,1
ОРГ2-02733,0
ОРГ1-01110,0
ОРГ1-01623,0
ОРГ1-01380,0
ОРГ1-01382,2
ОРГ2-06062,0
ОРГ2-06774,2
ОРГ1-02605,0
ОРГ1-01955,3
ОРГ1-02133,2
ОРГ1-01504,2
ОРГ2-04903,2
ОРГ2-04850,2
ОРГ1-00167,2
ОРГ2-01364,1
ОРГ2-06943,1
ОРГ1-01197,0
ОРГ1-01359,2
ОРГ1-01809,1
ОРГ1-01387,0
ОРГ1-01614,2
ОРГ1-02764,0
ОРГ2-05155,0
ОРГ2-04424,2
ОРГ2-02857,1
ОРГ1-02653,2
ОРГ1-02842,0
ОРГ2-00060,0
ОРГ1-02557,2
ОРГ2-02345,1
ОРГ1-02833,2
ОРГ1-02932,2
ОРГ1-02116,2
ОРГ1-01058,0
ОРГ1-01805,2
ОРГ1-02719,0
ОРГ1-00846,1
ОРГ1-00296,2
ОРГ1-02511,3
ОРГ1-00999,2
ОРГ1-01432,0
ОРГ2-00746,0
ОРГ1-02155,2
